Day10 过拟合与正则化实验汇总
================================================
数据设置：训练集 40 个点，其中 15% 标签被故意翻转；测试集 400 个点，不加标签噪声。
观察重点：不要只看 train_acc，要看 test_acc 以及 train_acc - test_acc 的 gap。

model | train_loss | test_loss | train_acc | test_acc | gap
baseline | 0.01141 | 1.65734 | 1.000 | 0.695 | 0.305
weight_decay | 0.16279 | 1.30367 | 0.925 | 0.650 | 0.275
dropout | 0.15923 | 0.56535 | 0.975 | 0.748 | 0.228

训练集 accuracy 最高：baseline (1.000)
测试集 accuracy 最高：dropout (0.748)
train/test gap 最小：dropout (0.228)

结论：baseline 最容易记住小训练集；weight decay 和 dropout 会牺牲一点训练集表现，换取更稳的泛化表现。

baseline 训练日志
========================================
weight_decay: 0.0
dropout_p: 0.0
epoch | train_loss | train_acc | test_acc | gap
   23 |    0.22351 |     0.925 |    0.810 | 0.115
   24 |    0.20918 |     0.950 |    0.777 | 0.173
   25 |    0.23952 |     0.900 |    0.738 | 0.162
   26 |    0.20338 |     0.925 |    0.752 | 0.173
   27 |    0.19779 |     0.925 |    0.820 | 0.105
   28 |    0.19426 |     0.925 |    0.842 | 0.083
   29 |    0.18665 |     0.925 |    0.858 | 0.067
   30 |    0.22580 |     0.900 |    0.777 | 0.123
   31 |    0.18217 |     0.925 |    0.795 | 0.130
   32 |    0.21109 |     0.925 |    0.808 | 0.118
   33 |    0.16931 |     0.950 |    0.803 | 0.147
   34 |    0.17655 |     0.925 |    0.757 | 0.168
   35 |    0.17192 |     0.925 |    0.730 | 0.195
   36 |    0.16912 |     0.950 |    0.752 | 0.197
   37 |    0.16757 |     0.950 |    0.735 | 0.215
   38 |    0.16075 |     0.950 |    0.715 | 0.235
   39 |    0.16697 |     0.950 |    0.735 | 0.215
   40 |    0.14479 |     0.950 |    0.770 | 0.180
   41 |    0.14997 |     0.925 |    0.780 | 0.145
   42 |    0.14611 |     0.950 |    0.757 | 0.192
   43 |    0.15821 |     0.950 |    0.697 | 0.252
   44 |    0.14165 |     0.975 |    0.707 | 0.268
   45 |    0.18545 |     0.950 |    0.752 | 0.197
   46 |    0.20743 |     0.950 |    0.750 | 0.200
   47 |    0.20127 |     0.950 |    0.755 | 0.195
   48 |    0.17946 |     0.925 |    0.750 | 0.175
   49 |    0.13604 |     0.950 |    0.755 | 0.195
   50 |    0.17174 |     0.950 |    0.678 | 0.272
   51 |    0.18798 |     0.925 |    0.673 | 0.252
   52 |    0.14207 |     0.950 |    0.700 | 0.250
   53 |    0.14492 |     0.925 |    0.728 | 0.197
   54 |    0.15592 |     0.925 |    0.762 | 0.163
   55 |    0.13154 |     0.950 |    0.785 | 0.165
   56 |    0.13981 |     0.950 |    0.725 | 0.225
   57 |    0.14606 |     0.950 |    0.690 | 0.260
   58 |    0.12186 |     0.975 |    0.738 | 0.238
   59 |    0.12952 |     0.950 |    0.735 | 0.215
   60 |    0.13855 |     0.950 |    0.733 | 0.217
   61 |    0.11950 |     0.950 |    0.745 | 0.205
   62 |    0.11404 |     0.975 |    0.717 | 0.258
   63 |    0.11423 |     0.975 |    0.723 | 0.252
   64 |    0.10931 |     0.975 |    0.748 | 0.228
   65 |    0.10888 |     0.950 |    0.765 | 0.185
   66 |    0.11160 |     0.950 |    0.772 | 0.178
   67 |    0.10416 |     0.975 |    0.743 | 0.233
   68 |    0.09909 |     0.975 |    0.735 | 0.240
   69 |    0.10375 |     0.975 |    0.715 | 0.260
   70 |    0.10045 |     0.975 |    0.702 | 0.273
   71 |    0.09800 |     0.975 |    0.712 | 0.263
   72 |    0.10348 |     0.950 |    0.740 | 0.210
   73 |    0.09389 |     0.975 |    0.725 | 0.250
   74 |    0.09277 |     0.975 |    0.697 | 0.278
   75 |    0.10033 |     0.975 |    0.688 | 0.288
   76 |    0.09072 |     0.975 |    0.712 | 0.263
   77 |    0.08983 |     0.975 |    0.738 | 0.238
   78 |    0.09389 |     0.975 |    0.757 | 0.218
   79 |    0.08875 |     0.975 |    0.700 | 0.275
   80 |    0.09219 |     0.975 |    0.685 | 0.290
   81 |    0.08232 |     0.975 |    0.740 | 0.235
   82 |    0.08724 |     0.975 |    0.748 | 0.228
